"Method","Avg_Purity","Avg_Gini","Avg_Entropy"
"SNF_CNV_Methylation",0.662721893491124,0.724852071005917,1.20863864925434
"SNF_CNV_Methylation_MIR",0.680473372781065,0.746548323471401,1.15685104690614
"SNF_CNV_Methylation_MIR_PRO",0.664694280078895,0.738658777120316,1.15192531641265
"SNF_CNV_Methylation_MIR_PRO_RNA",0.674556213017751,0.741617357001973,1.14075566109226
"SNF_CNV_Methylation_MIR_RNA",0.678500986193294,0.751479289940828,1.10549047996132
"SNF_CNV_Methylation_PRO",0.660749506903353,0.732741617357002,1.19001196522928
"SNF_CNV_Methylation_PRO_RNA",0.666666666666667,0.729783037475345,1.20660321896034
"SNF_CNV_Methylation_RNA",0.714003944773176,0.795857988165681,1.07321673319682
"SNF_CNV_MIR",0.656804733727811,0.726824457593689,1.2557073158457
"SNF_CNV_MIR_PRO",0.654832347140039,0.723865877712032,1.19710979284348
"SNF_CNV_MIR_PRO_RNA",0.674556213017751,0.730769230769231,1.16318532556597
"SNF_CNV_MIR_RNA",0.67258382642998,0.750493096646943,1.14545070876394
"SNF_CNV_PRO",0.652859960552268,0.719921104536489,1.25684205410355
"SNF_CNV_PRO_RNA",0.664694280078895,0.729783037475345,1.1854009539502
"SNF_CNV_RNA",0.662721893491124,0.750493096646943,1.16680720947635
"SNF_Methylation_MIR",0.646942800788955,0.730769230769231,1.20210356974119
"SNF_Methylation_MIR_PRO",0.656804733727811,0.72879684418146,1.24574969687598
"SNF_Methylation_MIR_PRO_RNA",0.694280078895464,0.759368836291913,1.16495168399807
"SNF_Methylation_MIR_RNA",0.682445759368836,0.754437869822485,1.18464740364407
"SNF_Methylation_PRO",0.654832347140039,0.718934911242604,1.26184230690908
"SNF_Methylation_PRO_RNA",0.698224852071006,0.761341222879685,1.17653475881556
"SNF_Methylation_RNA",0.652859960552268,0.734714003944773,1.15738377468927
"SNF_MIR_PRO",0.635108481262327,0.714990138067061,1.34792987680401
"SNF_MIR_PRO_RNA",0.698224852071006,0.782051282051282,1.13296982184953
"SNF_MIR_RNA",0.698224852071006,0.774161735700197,1.18392501053117
"SNF_PRO_RNA",0.682445759368836,0.741617357001973,1.29894489431089
