"Cluster","n","purity","gini","entropy","Method"
"1",118,0.745762711864407,0.834745762711865,1.06748234959404,"SNF_CNV_MIR_RNA"
"2",70,0.985714285714286,0.992857142857143,0.108023194975089,"SNF_CNV_MIR_RNA"
"3",125,0.688,0.832,1.0025159366238,"SNF_CNV_MIR_RNA"
"4",100,0.48,0.395,2.02896954351895,"SNF_CNV_MIR_RNA"
"5",94,0.531914893617021,0.734042553191489,1.26603746822441,"SNF_CNV_MIR_RNA"
