"Sample","Cluster"
"TCGA-A2-A25B-01A",1
"TCGA-E2-A1LG-01A",2
"TCGA-E2-A109-01A",5
"TCGA-E9-A3QA-01A",4
"TCGA-C8-A27B-01A",2
"TCGA-LL-A5YM-01A",1
"TCGA-OL-A66P-01A",4
"TCGA-A2-A3XZ-01A",4
"TCGA-E9-A295-01A",5
"TCGA-C8-A26W-01A",5
"TCGA-A2-A3KD-01A",3
"TCGA-D8-A27P-01A",3
"TCGA-A2-A3XT-01A",2
"TCGA-AO-A126-01A",3
"TCGA-E9-A243-01A",4
"TCGA-D8-A27N-01A",5
"TCGA-D8-A1J9-01A",5
"TCGA-EW-A1PG-01A",4
"TCGA-AR-A1AV-01A",1
"TCGA-LL-A8F5-01A",2
"TCGA-BH-A208-01A",5
"TCGA-BH-A0RX-01A",4
"TCGA-S3-AA15-01A",4
"TCGA-BH-A0DK-01A",1
"TCGA-E9-A1R0-01A",3
"TCGA-EW-A2FV-01A",5
"TCGA-BH-A0HP-01A",3
"TCGA-E2-A10B-01A",3
"TCGA-E9-A249-01A",3
"TCGA-BH-A0DG-01A",5
"TCGA-BH-A0DP-01A",3
"TCGA-A2-A0YT-01A",5
"TCGA-A2-A0ST-01A",4
"TCGA-OL-A5RV-01A",3
"TCGA-S3-AA11-01A",1
"TCGA-D8-A27R-01A",5
"TCGA-C8-A1HG-01A",5
"TCGA-AC-A4ZE-01A",1
"TCGA-AO-A03M-01B",5
"TCGA-D8-A27H-01A",2
"TCGA-E9-A54Y-01A",1
"TCGA-A2-A3XV-01A",5
"TCGA-LL-A5YL-01A",1
"TCGA-AR-A2LK-01A",1
"TCGA-AQ-A7U7-01A",4
"TCGA-AN-A0XO-01A",3
"TCGA-AO-A128-01A",4
"TCGA-E2-A574-01A",2
"TCGA-BH-A0E0-01A",2
"TCGA-S3-A6ZG-01A",1
"TCGA-E9-A22D-01A",5
"TCGA-A2-A25F-01A",4
"TCGA-AR-A256-01A",2
"TCGA-D8-A1X7-01A",3
"TCGA-EW-A2FS-01A",5
"TCGA-AC-A5XS-01A",1
"TCGA-C8-A8HR-01A",4
"TCGA-AC-A23E-01A",3
"TCGA-AC-A3HN-01A",3
"TCGA-A7-A4SC-01A",3
"TCGA-EW-A1IX-01A",3
"TCGA-E2-A107-01A",1
"TCGA-E9-A5UO-01A",1
"TCGA-A1-A0SH-01A",3
"TCGA-AR-A5QM-01A",1
"TCGA-E9-A1N9-01A",5
"TCGA-E2-A1B0-01A",5
"TCGA-E9-A2JT-01A",4
"TCGA-E2-A1IL-01A",3
"TCGA-OL-A5RW-01A",2
"TCGA-D8-A1XK-01A",2
"TCGA-AR-A0TP-01A",2
"TCGA-D8-A27V-01A",3
"TCGA-A2-A25A-01A",3
"TCGA-D8-A27M-01A",4
"TCGA-E9-A5FK-01A",4
"TCGA-D8-A1JU-01A",3
"TCGA-C8-A1HO-01A",1
"TCGA-D8-A27W-01A",5
"TCGA-LL-A740-01A",4
"TCGA-EW-A2FR-01A",5
"TCGA-EW-A1OV-01A",5
"TCGA-AR-A24T-01A",3
"TCGA-AR-A2LN-01A",3
"TCGA-BH-A203-01A",5
"TCGA-GM-A2DD-01A",4
"TCGA-A2-A25E-01A",5
"TCGA-E2-A1IG-01A",5
"TCGA-D8-A1JS-01A",1
"TCGA-LL-A7SZ-01A",1
"TCGA-HN-A2NL-01A",2
"TCGA-LD-A7W6-01A",3
"TCGA-A7-A5ZV-01A",2
"TCGA-S3-AA10-01A",2
"TCGA-AR-A1AL-01A",3
"TCGA-AR-A1AJ-01A",4
"TCGA-E9-A1RE-01A",5
"TCGA-E2-A1LL-01A",5
"TCGA-BH-A1FL-01A",3
"TCGA-AR-A0TT-01A",5
"TCGA-BH-A1FH-01A",4
"TCGA-B6-A0RM-01A",3
"TCGA-BH-A0B3-01A",2
"TCGA-E9-A1R5-01A",5
"TCGA-BH-A8FZ-01A",3
"TCGA-E2-A1LK-01A",2
"TCGA-E2-A15J-01A",3
"TCGA-BH-A1F0-01A",4
"TCGA-LL-A6FR-01A",2
"TCGA-D8-A1JE-01A",5
"TCGA-D8-A27F-01A",2
"TCGA-A7-A0D9-01A",1
"TCGA-E2-A15K-01A",5
"TCGA-D8-A73X-01A",3
"TCGA-GM-A2D9-01A",3
"TCGA-5L-AAT1-01A",3
"TCGA-A2-A0SX-01A",2
"TCGA-E9-A22H-01A",3
"TCGA-BH-A0H9-01A",5
"TCGA-D8-A1XS-01A",5
"TCGA-B6-A0RO-01A",3
"TCGA-E2-A1BD-01A",3
"TCGA-AR-A24O-01A",3
"TCGA-AR-A2LM-01A",3
"TCGA-E9-A1R7-01A",5
"TCGA-AR-A24U-01A",4
"TCGA-D8-A27T-01A",3
"TCGA-BH-A0HK-01A",1
"TCGA-A2-A1G0-01A",3
"TCGA-AO-A1KT-01A",5
"TCGA-Z7-A8R5-01A",3
"TCGA-BH-A0H7-01A",5
"TCGA-OL-A66K-01A",3
"TCGA-AR-A1AQ-01A",2
"TCGA-PE-A5DD-01A",1
"TCGA-A2-A0YF-01A",1
"TCGA-A2-A0T4-01A",3
"TCGA-E9-A1R4-01A",5
"TCGA-E9-A1NA-01A",1
"TCGA-AO-A1KR-01A",2
"TCGA-A2-A0YL-01A",3
"TCGA-C8-A1HE-01A",1
"TCGA-BH-A2L8-01A",4
"TCGA-D8-A1JL-01A",2
"TCGA-E9-A1N8-01A",2
"TCGA-E9-A24A-01A",3
"TCGA-AR-A24Z-01A",1
"TCGA-AR-A250-01A",5
"TCGA-Z7-A8R6-01A",1
"TCGA-AQ-A54O-01A",1
"TCGA-AR-A2LH-01A",4
"TCGA-D8-A1XY-01A",5
"TCGA-AC-A2FF-01A",4
"TCGA-GM-A2DK-01A",4
"TCGA-LL-A73Z-01A",4
"TCGA-E9-A1R6-01A",1
"TCGA-A2-A0T7-01A",5
"TCGA-AQ-A1H2-01A",1
"TCGA-D8-A1JH-01A",4
"TCGA-A7-A26G-01A",2
"TCGA-GM-A2DH-01A",4
"TCGA-EW-A1OX-01A",1
"TCGA-E2-A15I-01A",3
"TCGA-4H-AAAK-01A",3
"TCGA-D8-A1J8-01A",1
"TCGA-GM-A5PV-01A",3
"TCGA-BH-A1FN-01A",5
"TCGA-AC-A2B8-01A",3
